Código OACI;CIAD;Nome;Município;UF;Latitude;Longitude;LatGeoPoint;LonGeoPoint;Operação;Tipo;Validade do Registro
SDAW;SP0292;Banco Industrial;São Paulo;SP;23 35 31S;046 41 08W;-23.5919;-46.6856;VFR DIURNA;PRIV;2018-07-19Z
SD3T;SP1254;Trimais Center;São Paulo;SP; 23 28 43S; 046 36 37W;-23.4786;-46.6103;VFR;PRIV;2024-04-23Z
SDZE;SP0458;Ita;Itapecerica da Serra;SP;23 42 05S;046 49 43W;-23.7014;-46.8286;VFR;PRIV;2018-07-19Z
SJEB;SP0612;Millennium Office Park;São Paulo;SP;23 35 35S;046 41 23W;-23.5931;-46.6897;VFR;PRIV;2018-07-19Z
SSHJ;SP0750;JC;Osasco;SP;23 32 02S;046 46 56W;-23.5339;-46.7822;VFR;PRIV;2018-07-19Z
SWHX;SP0812;Conjunto Hospitalar do Mandaqui;São Paulo;SP;23 29 06S;046 37 50W;-23.485;-46.6306;VFR;PRIV;2023-09-21Z
SDOC;SP0392;Hospital do Coração;São Paulo;SP; 23 34 23S; 046 38 37W;-23.5731;-46.6436;VFR;PRIV;2022-11-17Z
SDZR;SP0460;SESI-FIESP;São Paulo;SP; 23 33 49S; 046 39 17W;-23.5636;-46.6547;VFR;PRIV;2019-01-31Z
SIBB;SP0465;Edifício Comendador Alberto Bonfiglioli;São Paulo;SP;23 33 52S;046 39 07W;-23.5644;-46.6519;VFR;PRIV;2018-07-19Z
SDKG;SP0371;Francisco Mellão;São Paulo;SP;23 35 37S;046 41 19W;-23.5936;-46.6886;VFR;PRIV;2018-07-19Z
SJTD;SP0661;Plaza JK;São Paulo;SP;23 35 27S;046 41 06W;-23.5908;-46.685;VFR;PRIV;2018-07-19Z
SSQX;SP0773;Frei Caneca Shopping;São Paulo;SP;23 33 14S;046 39 10W;-23.5539;-46.6528;VFR;PRIV;2018-07-19Z
SDKV;SP0377;Rede Globo;São Paulo;SP;23 36 53S;046 41 49W;-23.6147;-46.6969;VFR;PRIV;2018-07-19Z
SDTG;SP0423;Edifício Atrium IV;São Paulo;SP; 23 35 35S; 046 41 12W;-23.5931;-46.6867;VFR;PRIV;2020-01-23Z
SWTE;SP0831;WEST SIDE;Barueri;SP;23 30 13S;046 50 58W;-23.5036;-46.8494;VFR;PRIV;2024-02-22Z
SJRM;SP0653;Monte das Oliveiras;Santo André;SP;23 39 56S;046 31 15W;-23.6656;-46.5208;VFR;PRIV;2018-07-19Z
SDPS;SP0406;Hospital Estadual Mário Covas;Santo André;SP;23 40 15S;046 31 58W;-23.6708;-46.5328;VFR;PRIV;2018-07-19Z
SNDK;SP0694;C.T.O. Itaú;São Paulo;SP; 23 33 28S; 046 36 56W;-23.5578;-46.6156;VFR;PRIV;2021-04-22Z
SSCS;SP0745;Continental Square;São Paulo;SP; 23 35 44,81S; 046 41 02,41W;-23.5956;-46.6839;VFR;PRIV;2024-03-14Z
SDEI;SP0317;Canopus Corporate Alphaville;Barueri;SP;23 30 14S;046 50 41W;-23.5039;-46.8447;VFR;PRIV;2018-07-19Z
SIJX;SP0513;Internacional Plaza;São Paulo;SP; 23 35 29S; 046 40 54W;-23.5914;-46.6817;VFR;PRIV;2021-01-07Z
SJDD;SP0608;Jardim das Perdizes;São Paulo;SP; 23 31 12S; 046 40 48W;-23.52;-46.68;VFR;PRIV;2018-09-20Z
SWTF;SP0832;JBS;São Paulo;SP; 23 30 49.40S; 046 43 51.82W;-23.5136;-46.7308;VFR;PRIV;2024-08-08Z
